Modelo,Custo,Peso (g),Horas Produtivas
Rede 5 camadas ocultas,435090.39,1257294.29,2166.24
Rede 5 camadas ocultas,435237.38,1345172.71,2269.62
Rede 5 camadas ocultas,439319.95,1432859.01,2274.31
Rede 5 camadas ocultas,447455.3,1626632.66,2314.1
Rede 5 camadas ocultas,452715.66,1746103.85,2419.94
Rede 5 camadas ocultas,462464.61,1752578.37,2461.35
Rede 5 camadas ocultas,476386.54,1761473.56,2476.14
Rede 5 camadas ocultas,477721.89,1779614.54,2517.28
Rede 5 camadas ocultas,501648.8,1789710.35,2521.6
Rede 5 camadas ocultas,572375.95,1848905.56,2650.83
